Year,Year Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,% of Total Deaths,
2002,2002,Atherosclerotic heart disease,I25.1,217876,287625193,75.75,0.44%,
2002,2002,"Acute myocardial infarction, unspecified",I21.9,179108,287625193,62.27,0.36%,
2002,2002,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,156689,287625193,54.48,0.32%,
2002,2002,"Chronic obstructive pulmonary disease, unspecified",J44.9,99234,287625193,34.50,0.20%,
2002,2002,"Stroke, not specified as haemorrhage or infarction",I64,86879,287625193,30.21,0.18%,
2002,2002,"Atherosclerotic cardiovascular disease, so described",I25.0,68129,287625193,23.69,0.14%,
2002,2002,"Alzheimer disease, unspecified",G30.9,56614,287625193,19.68,0.11%,
2002,2002,"Pneumonia, unspecified",J18.9,56571,287625193,19.67,0.11%,
2002,2002,Congestive heart failure,I50.0,52434,287625193,18.23,0.11%,
2002,2002,"Colon, unspecified - Malignant neoplasms",C18.9,45918,287625193,15.96,0.09%,
2002,2002,"Unspecified diabetes mellitus, without complications",E14.9,42486,287625193,14.77,0.09%,
2002,2002,"Breast, unspecified - Malignant neoplasms",C50.9,41880,287625193,14.56,0.08%,
2002,2002,Unspecified dementia,F03,41794,287625193,14.53,0.08%,
2002,2002,"Septicaemia, unspecified",A41.9,30620,287625193,10.65,0.06%,
2002,2002,Malignant neoplasm of prostate,C61,30446,287625193,10.59,0.06%,
2002,2002,"Pancreas, unspecified - Malignant neoplasms",C25.9,29948,287625193,10.41,0.06%,
2002,2002,Malignant neoplasm without specification of site,C80,26482,287625193,9.21,0.05%,
2002,2002,"Cardiomyopathy, unspecified",I42.9,20492,287625193,7.12,0.04%,
2002,2002,Hypertensive heart disease without (congestive) heart failure,I11.9,17854,287625193,6.21,0.04%,
2002,2002,Unspecified renal failure,N19,17766,287625193,6.18,0.04%,
2002,2002,Pneumonitis due to food and vomit,J69.0,17586,287625193,6.11,0.04%,
2002,2002,"Non-Hodgkin lymphoma, unspecified type",C85.9,17509,287625193,6.09,0.04%,
2002,2002,Parkinson disease,G20,16857,287625193,5.86,0.03%,
2002,2002,"Intracerebral haemorrhage, unspecified",I61.9,16694,287625193,5.80,0.03%,
2002,2002,"Emphysema, unspecified",J43.9,15457,287625193,5.37,0.03%,
2002,2002,Malignant neoplasm of ovary,C56,14682,287625193,5.10,0.03%,
2002,2002,Other ill-defined and unspecified causes of mortality,R99,14498,287625193,5.04,0.03%,
2002,2002,"Cardiac arrest, unspecified",I46.9,14490,287625193,5.04,0.03%,
2002,2002,Other and unspecified cirrhosis of liver,K74.6,14049,287625193,4.88,0.03%,
2002,2002,"Urinary tract infection, site not specified",N39.0,13754,287625193,4.78,0.03%,
2002,2002,Generalized and unspecified atherosclerosis,I70.9,13253,287625193,4.61,0.03%,
2002,2002,"Oesophagus, unspecified - Malignant neoplasms",C15.9,12616,287625193,4.39,0.03%,
2002,2002,"Bladder, unspecified - Malignant neoplasms",C67.9,12601,287625193,4.38,0.03%,
2002,2002,Ischaemic cardiomyopathy,I25.5,12261,287625193,4.26,0.02%,
2002,2002,"Malignant neoplasm of kidney, except renal pelvis",C64,11992,287625193,4.17,0.02%,
2002,2002,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,11826,287625193,4.11,0.02%,
2002,2002,Essential (primary) hypertension,I10,11658,287625193,4.05,0.02%,
2002,2002,"Brain, unspecified - Malignant neoplasms",C71.9,11609,287625193,4.04,0.02%,
2002,2002,"Stomach, unspecified - Malignant neoplasms",C16.9,11499,287625193,4.00,0.02%,
2002,2002,Multiple myeloma - Malignant neoplasms,C90.0,10819,287625193,3.76,0.02%,
2002,2002,"Chronic ischaemic heart disease, unspecified",I25.9,10787,287625193,3.75,0.02%,
2002,2002,Intentional self-harm by other and unspecified firearm discharge,X74,10603,287625193,3.69,0.02%,
2002,2002,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,10373,287625193,3.61,0.02%,
2002,2002,Aortic (valve) stenosis,I35.0,10199,287625193,3.55,0.02%,
2002,2002,Atrial fibrillation and flutter,I48,10089,287625193,3.51,0.02%,
2002,2002,Assault by other and unspecified firearm discharge,X95,10061,287625193,3.50,0.02%,
2002,2002,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10004,287625193,3.48,0.02%,
2002,2002,Other interstitial pulmonary diseases with fibrosis,J84.1,9792,287625193,3.40,0.02%,
2002,2002,"Cardiac arrhythmia, unspecified",I49.9,8902,287625193,3.10,0.02%,
2002,2002,End-stage renal disease,N18.0,8855,287625193,3.08,0.02%,
2002,2002,Hypertensive heart disease with (congestive) heart failure,I11.0,8697,287625193,3.02,0.02%,
